Name,Publisher,Year,Global_Sales
Call of Duty: Ghosts,Activision,2013,10.21
Halo: Reach,Microsoft Game Studios,2010,9.88
Mario Kart 64,Nintendo,1996,9.87
New Super Mario Bros. 2,Nintendo,2012,9.82
Halo 4,Microsoft Game Studios,2012,9.76
Final Fantasy VII,Sony Computer Entertainment,1997,9.72
Call of Duty: Ghosts,Activision,2013,9.59
Just Dance 2,Ubisoft,2010,9.52
Gran Turismo 2,Sony Computer Entertainment,1999,9.49
Call of Duty 4: Modern Warfare,Activision,2007,9.32
Donkey Kong Country,Nintendo,1994,9.3
Minecraft,Microsoft Game Studios,2013,9.2
Animal Crossing: New Leaf,Nintendo,2012,9.09
Mario Party DS,Nintendo,2007,9.02
The Elder Scrolls V: Skyrim,Bethesda Softworks,2011,8.84
Super Mario Kart,Nintendo,1992,8.76
FIFA 16,Electronic Arts,2015,8.49
Wii Party,Nintendo,2010,8.49
Halo 2,Microsoft Game Studios,2004,8.49
Mario Party 8,Nintendo,2007,8.42
Pokemon Black 2/Pokemon White 2,Nintendo,2012,8.33
FIFA Soccer 13,Electronic Arts,2012,8.24
The Sims 3,Electronic Arts,2009,8.11
GoldenEye 007,Nintendo,1997,8.09
Mario & Sonic at the Olympic Games,Sega,2007,8.06
Final Fantasy X,Sony Computer Entertainment,2001,8.05
Final Fantasy VIII,SquareSoft,1999,7.86
Pokémon Platinum Version,Nintendo,2008,7.84
Pac-Man,Atari,1982,7.81
Grand Theft Auto: Liberty City Stories,Take-Two Interactive,2005,7.72
Super Mario Galaxy 2,Nintendo,2010,7.69
Star Wars Battlefront (2015),Electronic Arts,2015,7.67
Call of Duty: Advanced Warfare,Activision,2014,7.6
The Legend of Zelda: Ocarina of Time,Nintendo,1998,7.6
Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,1997,7.58
Super Mario Bros. 2,Nintendo,1988,7.46
Super Smash Bros. for Wii U and 3DS,Nintendo,2014,7.45
Call of Duty: World at War,Activision,2008,7.37
Battlefield 3,Electronic Arts,2011,7.34
The Legend of Zelda: Twilight Princess,Nintendo,2006,7.31
Call of Duty: Black Ops 3,Activision,2015,7.3
Just Dance,Ubisoft,2009,7.27
Battlefield 3,Electronic Arts,2011,7.23
Need for Speed Underground,Electronic Arts,2003,7.2
Tekken 3,Sony Computer Entertainment,1998,7.16
Crash Bandicoot 3: Warped,Sony Computer Entertainment,1998,7.13
Super Smash Bros. Melee,Nintendo,2001,7.07
Mario Kart 8,Nintendo,2014,6.96
Fallout 4,Bethesda Softworks,2015,6.96
Mario Kart: Double Dash!!,Nintendo,2003,6.95
Just Dance 4,Ubisoft,2012,6.91
FIFA 14,Electronic Arts,2013,6.9
Need for Speed Underground 2,Electronic Arts,2004,6.9
Medal of Honor: Frontline,Electronic Arts,2002,6.83
Uncharted 3: Drake's Deception,Sony Computer Entertainment,2011,6.83
Crash Bandicoot,Sony Computer Entertainment,1996,6.82
Zumba Fitness,505 Games,2010,6.81
Gears of War 2,Microsoft Game Studios,2008,6.76
Uncharted 2: Among Thieves,Sony Computer Entertainment,2009,6.73
Call of Duty 4: Modern Warfare,Activision,2007,6.72
FIFA 12,Electronic Arts,2011,6.69
Big Brain Academy,Nintendo,2005,6.67
Red Dead Redemption,Take-Two Interactive,2010,6.6
FIFA 15,Electronic Arts,2014,6.59
Donkey Kong Country Returns,Nintendo,2010,6.59
The Elder Scrolls V: Skyrim,Bethesda Softworks,2011,6.56
The Legend of Zelda,Nintendo,1986,6.51
Assassin's Creed III,Ubisoft,2012,6.5
Halo: Combat Evolved,Microsoft Game Studios,2001,6.43
Pokémon Emerald Version,Nintendo,2004,6.41
Kingdom Hearts,Sony Computer Entertainment,2002,6.4
Pokémon Crystal Version,Nintendo,2000,6.39
Halo 3: ODST,Microsoft Game Studios,2009,6.36
Red Dead Redemption,Take-Two Interactive,2010,6.34
Super Mario Sunshine,Nintendo,2002,6.31
Street Fighter II: The World Warrior,Capcom,1992,6.3
World of Warcraft,Activision,2004,6.28
Driver,GT Interactive,1999,6.27
Kinect Sports,Microsoft Game Studios,2010,6.24
Gears of War 3,Microsoft Game Studios,2011,6.24
Gears of War,Microsoft Game Studios,2006,6.11
Metal Gear Solid 2: Sons of Liberty,Konami Digital Entertainment,2001,6.05
Sonic the Hedgehog 2,Sega,1992,6.03
Metal Gear Solid 4: Guns of the Patriots,Konami Digital Entertainment,2008,6.03
Metal Gear Solid,Konami Digital Entertainment,1998,6.03
The Last of Us,Sony Computer Entertainment Europe,2013,5.99
Final Fantasy XII,Square Enix,2006,5.95
LittleBigPlanet,Sony Computer Entertainment,2008,5.92
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,2009,5.84
LEGO Star Wars: The Complete Saga,LucasArts,2007,5.83
Resident Evil 2,Virgin Interactive,1998,5.82
Tekken 2,Sony Computer Entertainment,1996,5.74
Cooking Mama,505 Games,2006,5.72
Destiny,Activision,2014,5.65
Tetris,Nintendo,1988,5.58
Assassin's Creed II,Ubisoft,2009,5.57
Super Smash Bros.,Nintendo,1999,5.55
Assassin's Creed,Ubisoft,2007,5.55
Batman: Arkham City,Warner Bros. Interactive Entertainment,2011,5.53
Forza Motorsport 3,Microsoft Game Studios,2009,5.51
Monster Hunter Freedom Unite,Capcom,2008,5.5
Super Mario Advance,Nintendo,2001,5.49
Mario Kart: Super Circuit,Nintendo,2001,5.47
Super Mario World,Nintendo,2001,5.46
Pokemon Stadium,Nintendo,1999,5.45
Call of Duty: World at War,Activision,2008,5.43
Crash Bandicoot: The Wrath of Cortex,Universal Interactive,2001,5.42
Minecraft,Sony Computer Entertainment,2014,5.42
Final Fantasy XIII,Square Enix,2009,5.36
Dr. Mario,Nintendo,1989,5.34
Pokemon Pinball,Nintendo,1999,5.31
Assassin's Creed III,Ubisoft,2012,5.3
Final Fantasy IX,SquareSoft,2000,5.3
Final Fantasy X-2,Electronic Arts,2003,5.29
Donkey Kong 64,Nintendo,1999,5.27
Assassin's Creed II,Ubisoft,2009,5.27
Professor Layton and the Curious Village,Nintendo,2007,5.26
Tomb Raider II,Eidos Interactive,1997,5.24
Madden NFL 2004,Electronic Arts,N/A,5.23
Dragon Quest VIII: Journey of the Cursed King,Square Enix,2004,5.21
Diablo III,Activision,2012,5.2
Super Mario Bros. 3,Nintendo,2003,5.2
New Super Mario Bros. U,Nintendo,2012,5.19
Super Mario Land 3: Wario Land,Nintendo,1994,5.19
FIFA Soccer 13,Electronic Arts,2012,5.18
The Legend of Zelda: Phantom Hourglass,Nintendo,2007,5.17
Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,1995,5.15
Tomodachi Life,Nintendo,2013,5.15
Mario & Sonic at the Olympic Games,Sega,2008,5.14
Medal of Honor: Rising Sun,Electronic Arts,2003,5.13
Kirby's Dream Land,Nintendo,1992,5.13
Fable III,Microsoft Game Studios,2010,5.13
Call of Duty: Advanced Warfare,Activision,2014,5.13
Microsoft Flight Simulator,Microsoft Game Studios,1996,5.12
Guitar Hero II,RedOctane,2006,5.12
Resident Evil 5,Capcom,2009,5.11
Grand Theft Auto V,Take-Two Interactive,2014,5.08
Grand Theft Auto: Vice City Stories,Take-Two Interactive,2006,5.08
FIFA Soccer 11,Electronic Arts,2010,5.08
Super Mario Bros.,Nintendo,1999,5.07
Resident Evil,Virgin Interactive,1996,5.05
Tony Hawk's Pro Skater,Activision,1999,5.02
Super Smash Bros. for Wii U and 3DS,Nintendo,2014,5.02
Warzone 2100,Eidos Interactive,1999,5.01
Spyro the Dragon,Sony Computer Entertainment,1998,5
Link's Crossbow Training,Nintendo,2007,5
Guitar Hero III: Legends of Rock,Activision,2007,4.98
Fallout 3,Bethesda Softworks,2008,4.96
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Nintendo,2007,4.96
Uncharted: Drake's Fortune,Sony Computer Entertainment,2007,4.94
Madden NFL 06,Electronic Arts,2005,4.91
LEGO Star Wars: The Complete Saga,LucasArts,2007,4.9
Diddy Kong Racing,Nintendo,1997,4.88
Monster Hunter Freedom 3,Capcom,2010,4.87
Dr. Mario,Nintendo,1990,4.85
God of War III,Sony Computer Entertainment,2010,4.84
StarCraft II: Wings of Liberty,Activision,2010,4.83
Assassin's Creed,Ubisoft,2007,4.83
FIFA 15,Electronic Arts,2014,4.82
Crash Team Racing,Sony Computer Entertainment,1999,4.79
FIFA 17,Electronic Arts,2016,4.77
Batman: Arkham City,Warner Bros. Interactive Entertainment,2011,4.76
Driver 2,Atari,2000,4.73
The Simpsons: Hit & Run,Vivendi Games,2003,4.7
Tony Hawk's Pro Skater 2,Activision,2000,4.68
Animal Crossing: City Folk,Nintendo,2008,4.68
The Lord of the Rings: The Two Towers,Electronic Arts,2002,4.67
Forza Motorsport 4,Microsoft Game Studios,2011,4.64
Tomb Raider,Eidos Interactive,1996,4.63
Guitar Hero III: Legends of Rock,Activision,2007,4.62
The Legend of Zelda: A Link to the Past,Nintendo,1991,4.61
The Legend of Zelda: The Wind Waker,Nintendo,2002,4.6
Mario & Sonic at the Olympic Winter Games,Sega,2009,4.58
Luigi's Mansion: Dark Moon,Nintendo,2013,4.58
Splatoon,Nintendo,2015,4.57
The Last of Us,Sony Computer Entertainment,2014,4.55
Guitar Hero III: Legends of Rock,Activision,2007,4.53
Madden NFL 2005,Electronic Arts,2004,4.53
Pitfall!,Activision,1981,4.5
Madden NFL 07,Electronic Arts,2006,4.49
Spider-Man: The Movie,Activision,2002,4.48
Dragon Quest VII: Warriors of Eden,Enix Corporation,2000,4.47
Uncharted: The Nathan Drake Collection,Sony Computer Entertainment,2015,4.47
Call of Duty: Advanced Warfare,Activision,2014,4.45
God of War,Sony Computer Entertainment,2005,4.45
Nintendo Land,Nintendo,2012,4.44
Michael Jackson: The Experience,Ubisoft,2010,4.42
Tony Hawk's Pro Skater 3,Activision,2001,4.41
Winning Eleven: Pro Evolution Soccer 2007,Konami Digital Entertainment,2006,4.39
The Elder Scrolls IV: Oblivion,Take-Two Interactive,2006,4.39
Zelda II: The Adventure of Link,Nintendo,1987,4.38
Need for Speed: Most Wanted,Electronic Arts,2005,4.37
Resistance: Fall of Man,Sony Computer Entertainment,2006,4.35
Sonic the Hedgehog,Sega,1991,4.34
Kingdom Hearts II,Square Enix,2005,4.33
FIFA 14,Electronic Arts,2013,4.31
Call of Duty: Advanced Warfare,Activision,2014,4.31
Asteroids,Atari,1980,4.31
Fable II,Microsoft Game Studios,2008,4.31
Halo 5: Guardians,Microsoft Game Studios,2015,4.26
Super Mario 3D World,Nintendo,2013,4.25
Batman: Arkham Asylum,Eidos Interactive,2009,4.25
Assassin's Creed: Revelations,Ubisoft,2011,4.24
Namco Museum,Namco Bandai Games,2001,4.24
Metal Gear Solid 3: Snake Eater,Konami Digital Entertainment,2004,4.23
Daxter,Sony Computer Entertainment,2006,4.22
Warcraft II: Tides of Darkness,Activision,1995,4.21
The Legend of Zelda: Ocarina of Time,Nintendo,2011,4.21
FIFA Soccer 06,Electronic Arts,2005,4.21
EyeToy Play,Sony Computer Entertainment,2003,4.2
Uncharted 4: A Thief's End,Sony Computer Entertainment,2016,4.2
Gran Turismo 5 Prologue,Sony Computer Entertainment,2007,4.2
Assassin's Creed: Revelations,Ubisoft,2011,4.19
Street Fighter IV,Capcom,2009,4.19
FIFA 12,Electronic Arts,2011,4.19
Teenage Mutant Ninja Turtles,Palcom,1989,4.17
Excitebike,Nintendo,1984,4.16
Frogger,Hasbro Interactive,1997,4.16
Madden NFL 2003,Electronic Arts,2002,4.14
Watch Dogs,Ubisoft,2014,4.14
Half-Life,Vivendi Games,1997,4.12
Super Mario World 2: Yoshi's Island,Nintendo,1995,4.12
FIFA Soccer 07,Electronic Arts,2006,4.11
The Legend of Zelda: Skyward Sword,Nintendo,2011,4.1
Street Fighter II Turbo,Capcom,1992,4.1
Carnival Games,Take-Two Interactive,2007,4.1
Fallout 4,Bethesda Softworks,2015,4.09
World of Warcraft: The Burning Crusade,Activision,2007,4.09
Fallout: New Vegas,Bethesda Softworks,2010,4.08
God of War II,Sony Computer Entertainment,2007,4.07
Forza Motorsport 2,Microsoft Game Studios,2007,4.06
World Soccer Winning Eleven 9,Konami Digital Entertainment,2005,4.06
Namco Museum Vol.3,Sony Computer Entertainment,1996,4.05
Tekken Tag Tournament,Namco Bandai Games,2000,4.05
Far Cry 4,Ubisoft,2014,4.03
Star Fox 64,Nintendo,1997,4.03
Minecraft,Sony Computer Entertainment Europe,2014,4.02
Golf,Nintendo,1984,4.01
Fallout 3,Bethesda Softworks,2008,4.01
Professor Layton and the Diabolical Box,Nintendo,2007,4
Left 4 Dead 2,Electronic Arts,2009,3.99
Namco Museum: 50th Anniversary,Namco Bandai Games,2005,3.98
EA Sports Active,Electronic Arts,2009,3.92
Assassin's Creed: Unity,Ubisoft,2014,3.92
Donkey Kong Land,Nintendo,1994,3.91
Tony Hawk's Underground,Activision,2003,3.9
Assassin's Creed IV: Black Flag,Ubisoft,2013,3.89
Monster Hunter 4 Ultimate,Nintendo,2014,3.89
MotorStorm,Sony Computer Entertainment,2006,3.88
The Elder Scrolls V: Skyrim,Bethesda Softworks,2011,3.88
Tekken 5,Namco Bandai Games,2005,3.87
Dragon Warrior III,Enix Corporation,1988,3.87
Sports Champions,Sony Computer Entertainment,2010,3.87
NBA 2K16,Take-Two Interactive,2015,3.85
World Soccer Winning Eleven 8 International,Konami Digital Entertainment,2004,3.85
Flash Focus: Vision Training in Minutes a Day,Nintendo,2007,3.84
Namco Museum Vol.1,Sony Computer Entertainment,1995,3.84
The Legend of Zelda: Link's Awakening,Nintendo,1992,3.83
Mario & Luigi: Bowser's Inside Story,Nintendo,2009,3.83
Big Brain Academy: Wii Degree,Nintendo,2007,3.82
Nintendogs + cats,Nintendo,2011,3.81
Batman: Arkham Knight,Warner Bros. Interactive Entertainment,2015,3.79
Mario & Sonic at the London 2012 Olympic Games,Sega,2011,3.78
LEGO Indiana Jones: The Original Adventures,Activision,2008,3.78
Resident Evil Director's Cut,Virgin Interactive,1996,3.77
Ratchet & Clank: Size Matters,Sony Computer Entertainment,2007,3.77
Just Dance 2014,Ubisoft,2013,3.76
The Sims: Unleashed,Electronic Arts,2002,3.76
Super Paper Mario,Nintendo,2007,3.76
Harry Potter and the Sorcerer's Stone,Electronic Arts,2001,3.73
The Witcher 3: Wild Hunt,Namco Bandai Games,2015,3.73
Resident Evil 3: Nemesis,Eidos Interactive,1999,3.72
Spyro: Year of the Dragon,Sony Computer Entertainment,2000,3.71
FIFA Soccer 2005,Electronic Arts,2004,3.7
Pokémon Trading Card Game,Nintendo,1998,3.7
Battlefield 4,Electronic Arts,2013,3.69
MySims,Electronic Arts,2007,3.69
Friend Collection,Nintendo,2009,3.67
Tony Hawk's Pro Skater 4,Activision,2002,3.67
Midnight Club 3: DUB Edition,Take-Two Interactive,2005,3.66
Banjo-Kazooie,Nintendo,1998,3.65
SOCOM: U.S. Navy SEALs,Sony Computer Entertainment,2002,3.65
Guitar Hero: World Tour,Activision,2008,3.65
Gran Turismo 6,Sony Computer Entertainment,2013,3.64
Jak and Daxter: The Precursor Legacy,Sony Computer Entertainment,2001,3.64
Pokemon Snap,Nintendo,1999,3.63
FIFA Soccer 10,Electronic Arts,2009,3.63
Pro Evolution Soccer 2008,Konami Digital Entertainment,2007,3.63
Call of Duty: Ghosts,Activision,2013,3.63
Resident Evil 4,Capcom,2005,3.62
Tom Clancy's The Division,Ubisoft,2016,3.61
Star Wars: Battlefront,LucasArts,2004,3.61
Doom II: Hell on Earth,Virgin Interactive,1994,3.61
The Simpsons: Road Rage,Electronic Arts,2001,3.61
Cooking Mama 2: Dinner With Friends,505 Games,2007,3.61
Luigi's Mansion,Nintendo,2001,3.6
Star Wars: Battlefront II,LucasArts,2005,3.59
WWF SmackDown!,THQ,2000,3.58
Croc: Legend of the Gobbos,Fox Interactive,1997,3.56
Grand Theft Auto: Liberty City Stories,Take-Two Interactive,2006,3.54
The Getaway,Sony Computer Entertainment,2002,3.54
Tomb Raider III: Adventures of Lara Croft,Eidos Interactive,1997,3.54
James Bond 007: Agent Under Fire,Electronic Arts,2001,3.53
LEGO Star Wars: The Video Game,Eidos Interactive,2005,3.53
Battlefield 4,Electronic Arts,2013,3.53
FIFA Soccer 11,Electronic Arts,2010,3.53
Rugrats in Paris: The Movie,THQ,2000,3.52
Spyro 2: Ripto's Rage!,Sony Computer Entertainment,1999,3.52
Left 4 Dead,Electronic Arts,2008,3.52
Mario & Sonic at the Olympic Winter Games,Sega,2009,3.52
Resident Evil 5,Capcom,2009,3.51
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Nintendo,1996,3.51
Assassin's Creed: Brotherhood,Ubisoft,2010,3.5
Kung Fu,Nintendo,1985,3.5
Batman: Arkham Asylum,Eidos Interactive,2009,3.5
Clubhouse Games,Nintendo,2006,3.5
FIFA Soccer 2004,Electronic Arts,N/A,3.49
Star Wars Battlefront (2015),Electronic Arts,2015,3.49
Battlefield: Bad Company 2,Electronic Arts,2010,3.48
Guitar Hero: On Tour,Activision,2008,3.48
Assassin's Creed: Unity,Ubisoft,2014,3.46
Far Cry 3,Ubisoft,2012,3.45
Monster Hunter 4,Capcom,2013,3.44
Borderlands,Take-Two Interactive,2009,3.44
Tekken 4,Namco Bandai Games,2002,3.44
Battlefield 4,Electronic Arts,2013,3.43
LittleBigPlanet 2,Sony Computer Entertainment,2011,3.42
Grand Theft Auto 2,Take-Two Interactive,1998,3.42
Final Fantasy III,SquareSoft,1994,3.42
Spider-Man 2,Activision,2004,3.41
F-1 Race,Nintendo,1990,3.41
FIFA Soccer 2003,Electronic Arts,2002,3.4
Crash Bash,Sony Computer Entertainment,2000,3.39
LEGO Batman: The Videogame,Warner Bros. Interactive Entertainment,2008,3.38
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,2015,3.38
The Legend of Zelda: Spirit Tracks,Nintendo,2009,3.38
WWF War Zone,Acclaim Entertainment,1998,3.36
The Legend of Zelda: Majora's Mask,Nintendo,2000,3.36
Professor Layton and the Unwound Future,Nintendo,2008,3.36
Rugrats: Search For Reptar,THQ,1998,3.34
Assassin's Creed IV: Black Flag,Ubisoft,2013,3.34
English Training: Have Fun Improving Your Skills!,Nintendo,2006,3.33
James Bond 007: Nightfire,Electronic Arts,2002,3.33
Ratchet & Clank,Sony Computer Entertainment,2002,3.33
Mario Party 9,Nintendo,2012,3.32
Star Wars Episode III: Revenge of the Sith,LucasArts,2005,3.32
Max Payne,Take-Two Interactive,2001,3.31
The Lord of the Rings: The Return of the King,Electronic Arts,2003,3.28
Assassin's Creed Syndicate,Ubisoft,2015,3.28
Destiny,Activision,2014,3.28
True Crime: Streets of LA,Activision,2003,3.27
Wii Music,Nintendo,2008,3.27
Gran Turismo (PSP),Sony Computer Entertainment,2009,3.27
Monster Hunter X,Capcom,2015,3.26
Tekken,Sony Computer Entertainment,1995,3.24
FIFA 16,Electronic Arts,2015,3.23
L.A. Noire,Take-Two Interactive,2011,3.23
Madden NFL 16,Electronic Arts,2015,3.22
Yokai Watch 2 Ganso/Honke,Nintendo,2014,3.22
007: Tomorrow Never Dies,Electronic Arts,1999,3.21
Baseball,Nintendo,1983,3.2
Killer Instinct,Nintendo,1995,3.2
WWF SmackDown! 2: Know Your Role,THQ,2000,3.2
Crisis Core: Final Fantasy VII,Square Enix,2007,3.19
God of War: Chains of Olympus,Sony Computer Entertainment,2008,3.19
Dragon Quest VI: Maboroshi no Daichi,Enix Corporation,1995,3.19
Dance Central,MTV Games,2010,3.19
Enter the Matrix,Atari,2003,3.18
Super Mario Maker,Nintendo,2015,3.18
Fallout: New Vegas,Bethesda Softworks,2010,3.17
LEGO Batman: The Videogame,Warner Bros. Interactive Entertainment,N/A,3.17
Rhythm Heaven,Nintendo,2008,3.17
Ace Combat 04: Shattered Skies,Sony Computer Entertainment Europe,2001,3.17
Club Penguin: Elite Penguin Force,Disney Interactive Studios,2008,3.16
Animal Crossing,Nintendo,2001,3.15
LEGO Batman: The Videogame,Warner Bros. Interactive Entertainment,2008,3.15
Sonic Rush,Sega,2005,3.15
Resident Evil 6,Capcom,2012,3.15
Halo: The Master Chief Collection,Microsoft Game Studios,2014,3.15
FIFA Soccer 08,Electronic Arts,2007,3.14
Spider-Man,Activision,2000,3.13
Need for Speed III: Hot Pursuit,Electronic Arts,1998,3.12
Star Wars Episode I Racer,Nintendo,1999,3.12
Personal Trainer: Cooking,Nintendo,2006,3.12
The Elder Scrolls IV: Oblivion,Ubisoft,2007,3.12
Dragon Warrior IV,Enix Corporation,1990,3.12
Heavy Rain,Sony Computer Entertainment,2010,3.12
Mass Effect 2,Electronic Arts,2010,3.11
FIFA 15,Electronic Arts,2014,3.11
Dragon Ball Z: Budokai,Atari,2002,3.09
Madden NFL 2002,Electronic Arts,2001,3.08
World Class Track Meet,Namco Bandai Games,1986,3.08
Borderlands 2,Take-Two Interactive,2012,3.07
The Legend of Zelda: A Link Between Worlds,Nintendo,2013,3.07
Donkey Kong,Nintendo,1994,3.07
The Sims: Vacation,Electronic Arts,2002,3.07
Mass Effect 3,Electronic Arts,2012,3.07
Kung Fu Panda,Activision,2008,3.05
Far Cry 3,Ubisoft,2012,3.04
Epic Mickey,Disney Interactive Studios,2010,3.04
Saints Row 2,THQ,2008,3.03
Rayman,Ubisoft,1995,3.03
Killzone 2,Sony Computer Entertainment,2009,3.02
Tom Clancy's Splinter Cell,Ubisoft,2002,3.02
Mike Tyson's Punch-Out!!,Nintendo,1987,3.02
WWE SmackDown! Shut Your Mouth,THQ,2002,3.02
Gears of War: Ultimate Edition,Microsoft Game Studios,2015,3
NBA 2K13,Take-Two Interactive,2012,3
Dragon Ball Z: Budokai Tenkaichi 3,Atari,2007,3
wwe Smackdown vs. Raw 2006,N/A,N/A,3
Middle-Earth: Shadow of Mordor,Warner Bros. Interactive Entertainment,2014,2.99
Star Fox,Nintendo,1993,2.99
The Sims: Livin Large,Electronic Arts,2000,2.99
World Soccer Winning Eleven 6 International,Konami Digital Entertainment,2002,2.99
Devil May Cry,Capcom,2001,2.99
Animal Crossing: Happy Home Designer,Nintendo,2015,2.98
Battlefield: Bad Company 2,Electronic Arts,2010,2.97
The Sims 4,Electronic Arts,2014,2.97
Star Wars: The Old Republic,Electronic Arts,2011,2.97
Sonic Heroes,Sega,2003,2.96
Kirby Super Star Ultra,Nintendo,2008,2.96
Hitman 2: Silent Assassin,Eidos Interactive,2002,2.96
Street Fighter IV,Capcom,2009,2.95
Wave Race 64,Nintendo,1996,2.94
SOCOM II: U.S. Navy SEALs,Sony Computer Entertainment,2003,2.94
WWE SmackDown! vs. RAW 2006,THQ,2005,2.94
inFAMOUS,Sony Computer Entertainment,2009,2.94
Pac-Man Collection,Atari,2001,2.94
Mass Effect,Microsoft Game Studios,2007,2.93
WarioWare: Smooth Moves,Nintendo,2006,2.92
Cooking Mama: Cook Off,505 Games,2007,2.91
Super Mario World 2: Yoshi's Island,Nintendo,2002,2.91
FIFA 14,Electronic Arts,2013,2.9
Titanfall,Electronic Arts,2014,2.9
Sonic Mega Collection Plus,Sega,2004,2.9
Sega Superstars Tennis,Sega,2008,2.9
World Soccer Winning Eleven 7 International,Konami Digital Entertainment,2003,2.9
Need for Speed: Most Wanted,Electronic Arts,2012,2.89
Hot Shots Golf 3,Sony Computer Entertainment,2001,2.89
Call of Duty: Finest Hour,Activision,2004,2.89
Zumba Fitness 2,Majesco Entertainment,2011,2.88
Syphon Filter,Sony Computer Entertainment,1999,2.88
Imagine: Babyz,Ubisoft,2007,2.88
Colin McRae Rally,Codemasters,1998,2.87
Call of Duty: Ghosts,Activision,2013,2.86
Madden NFL 13,Electronic Arts,2012,2.86
The Elder Scrolls III: Morrowind,Ubisoft,2002,2.86
Mortal Kombat,Warner Bros. Interactive Entertainment,2011,2.85
F-Zero,Nintendo,1990,2.85
Yoshi's Story,Nintendo,1997,2.85
Command & Conquer: Red Alert,Virgin Interactive,1996,2.85
Skylanders: Spyro's Adventure,Activision,2011,2.85
FIFA 16,Electronic Arts,2015,2.85
Assassin's Creed: Brotherhood,Ubisoft,2010,2.84
BioShock,Take-Two Interactive,2007,2.83
Madden NFL 10,Electronic Arts,2009,2.83
Medal of Honor,Electronic Arts,2010,2.83
WWE SmackDown! vs. Raw,THQ,2002,2.83
Metroid Prime,Nintendo,2002,2.82
Finding Nemo,THQ,2003,2.82
Myst,Red Orb,1994,2.81
Need for Speed: Hot Pursuit,Electronic Arts,2010,2.81
